	GLOBAL	GLOBAL	GLOBAL	GLOBAL	GLOBAL	GLOBAL	GLOBAL	GLOBAL	GLOBAL	GLOBAL	GLOBAL	GLOBAL	GLOBAL	GLOBAL	GLOBAL	GLOBAL	GLOBAL	GLOBAL	GLOBAL	GLOBAL	GLOBAL	GLOBAL	GLOBAL	GLOBAL	GLOBAL	GLOBAL	GLOBAL	GLOBAL	GLOBAL	GLOBAL	GLOBAL	GLOBAL	GLOBAL	GLOBAL	GLOBAL	GLOBAL
	HIP_X	HIP_X	HIP_X	HIP_Y	HIP_Y	HIP_Y	HIP_Z	HIP_Z	HIP_Z	KNEE_X	KNEE_X	KNEE_X	KNEE_Y	KNEE_Y	KNEE_Y	KNEE_Z	KNEE_Z	KNEE_Z	VHIP_X	VHIP_X	VHIP_X	VHIP_Y	VHIP_Y	VHIP_Y	VHIP_Z	VHIP_Z	VHIP_Z	VKNEE_X	VKNEE_X	VKNEE_X	VKNEE_Y	VKNEE_Y	VKNEE_Y	VKNEE_Z	VKNEE_Z	VKNEE_Z
	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z
22	22.000000	0.156953	0.017979	22.000000	0.867569	0.028596	22.000000	0.799183	0.003663	22.000000	0.137952	0.020252	22.000000	0.866214	0.036008	22.000000	0.423352	0.003208	22.000000	-0.008766	0.019699	22.000000	-1.162950	0.032780	22.000000	0.127377	0.020375	22.000000	-0.051513	0.006902	22.000000	-0.255514	0.081206	22.000000	0.067188	0.023877
23	23.000000	0.156872	0.017951	23.000000	0.856128	0.028768	23.000000	0.800383	0.003455	23.000000	0.137501	0.020206	23.000000	0.863784	0.036688	23.000000	0.424048	0.003390	23.000000	-0.008355	0.019947	23.000000	-1.157964	0.033130	23.000000	0.109216	0.026238	23.000000	-0.037365	0.008189	23.000000	-0.237797	0.074573	23.000000	0.071101	0.020548
24	24.000000	0.156791	0.017901	24.000000	0.844725	0.028941	24.000000	0.801371	0.003201	24.000000	0.137207	0.020208	24.000000	0.861527	0.037338	24.000000	0.424768	0.003540	24.000000	-0.008411	0.020449	24.000000	-1.153770	0.033615	24.000000	0.085905	0.031704	24.000000	-0.022207	0.019980	24.000000	-0.221129	0.068884	24.000000	0.072992	0.017137
25	25.000000	0.156707	0.017820	25.000000	0.833361	0.029112	25.000000	0.802103	0.002905	25.000000	0.137069	0.020273	25.000000	0.859431	0.037962	25.000000	0.425496	0.003653	25.000000	-0.008676	0.021141	25.000000	-1.149613	0.034017	25.000000	0.058999	0.036551	25.000000	-0.008176	0.030842	25.000000	-0.206318	0.063492	25.000000	0.073582	0.014060
26	26.000000	0.156620	0.017703	26.000000	0.822038	0.029280	26.000000	0.802549	0.002571	26.000000	0.137066	0.020405	26.000000	0.857474	0.038557	26.000000	0.426223	0.003726	26.000000	-0.008946	0.021958	26.000000	-1.145008	0.034338	26.000000	0.030207	0.040656	26.000000	0.002679	0.038694	26.000000	-0.194482	0.057654	26.000000	0.073583	0.012048
27	27.000000	0.156530	0.017548	27.000000	0.810764	0.029444	27.000000	0.802701	0.002209	27.000000	0.137151	0.020591	27.000000	0.855620	0.039100	27.000000	0.426947	0.003752	27.000000	-0.009129	0.022860	27.000000	-1.139992	0.034655	27.000000	0.001316	0.043753	27.000000	0.008985	0.042582	27.000000	-0.186842	0.051262	27.000000	0.073630	0.011915
28	28.000000	0.156439	0.017358	28.000000	0.799543	0.029608	28.000000	0.802567	0.001841	28.000000	0.137274	0.020807	28.000000	0.853822	0.039552	28.000000	0.427673	0.003728	28.000000	-0.009158	0.023906	28.000000	-1.134939	0.035064	28.000000	-0.026185	0.045441	28.000000	0.010531	0.042829	28.000000	-0.184666	0.046969	28.000000	0.074084	0.013735
29	29.000000	0.156348	0.017135	29.000000	0.788372	0.029773	29.000000	0.802170	0.001504	29.000000	0.137384	0.021020	29.000000	0.852019	0.039868	29.000000	0.428406	0.003655	29.000000	-0.008965	0.025262	29.000000	-1.130497	0.035548	29.000000	-0.051136	0.045259	29.000000	0.008172	0.040678	29.000000	-0.189175	0.049889	29.000000	0.075070	0.016740
30	30.000000	0.156260	0.016883	30.000000	0.777243	0.029942	30.000000	0.801540	0.001246	30.000000	0.137450	0.021208	30.000000	0.850140	0.040010	30.000000	0.429152	0.003535	30.000000	-0.008441	0.027057	30.000000	-1.127224	0.036034	30.000000	-0.072973	0.043065	30.000000	0.003539	0.037528	30.000000	-0.201529	0.061899	30.000000	0.076406	0.020274
31	31.000000	0.156178	0.016610	31.000000	0.766140	0.030116	31.000000	0.800711	0.001116	31.000000	0.137456	0.021357	31.000000	0.848101	0.039959	31.000000	0.429914	0.003377	31.000000	-0.007520	0.029213	31.000000	-1.125573	0.036329	31.000000	-0.091507	0.039017	31.000000	-0.001434	0.033956	31.000000	-0.222465	0.078839	31.000000	0.077805	0.024023
32	32.000000	0.156108	0.016325	32.000000	0.755044	0.030295	32.000000	0.799717	0.001119	32.000000	0.137412	0.021468	32.000000	0.845810	0.039719	32.000000	0.430690	0.003193	32.000000	-0.006240	0.031434	32.000000	-1.125751	0.036283	32.000000	-0.106946	0.033675	32.000000	-0.005062	0.029767	32.000000	-0.252015	0.095615	32.000000	0.078940	0.027799
33	33.000000	0.156053	0.016037	33.000000	0.743938	0.030479	33.000000	0.798586	0.001208	33.000000	0.137339	0.021556	33.000000	0.843182	0.039316	33.000000	0.431476	0.003001	33.000000	-0.004768	0.033425	33.000000	-1.127823	0.035881	33.000000	-0.119645	0.027839	33.000000	-0.006035	0.025298	33.000000	-0.289337	0.109033	33.000000	0.079552	0.031385
34	34.000000	0.156014	0.015752	34.000000	0.732801	0.030667	34.000000	0.797343	0.001328	34.000000	0.137271	0.021640	34.000000	0.840144	0.038790	34.000000	0.432266	0.002822	34.000000	-0.003325	0.035017	34.000000	-1.131768	0.035282	34.000000	-0.130089	0.022534	34.000000	-0.003751	0.021999	34.000000	-0.333016	0.117398	34.000000	0.079423	0.034449
35	35.000000	0.155988	0.015468	35.000000	0.721616	0.030858	35.000000	0.796009	0.001445	35.000000	0.137244	0.021738	35.000000	0.836643	0.038185	35.000000	0.433050	0.002680	35.000000	-0.002066	0.036209	35.000000	-1.137529	0.034603	35.000000	-0.138835	0.018806	35.000000	0.001643	0.021387	35.000000	-0.381500	0.120436	35.000000	0.078306	0.036648
36	36.000000	0.155974	0.015179	36.000000	0.710365	0.031052	36.000000	0.794597	0.001552	36.000000	0.137288	0.021864	36.000000	0.832640	0.037545	36.000000	0.433819	0.002595	36.000000	-0.000992	0.037137	36.000000	-1.145078	0.033804	36.000000	-0.146481	0.017210	36.000000	0.009288	0.022675	36.000000	-0.433411	0.118552	36.000000	0.075897	0.037652
37	37.000000	0.155968	0.014876	37.000000	0.699032	0.031244	37.000000	0.793115	0.001652	37.000000	0.137421	0.022019	37.000000	0.828108	0.036904	37.000000	0.434559	0.002575	37.000000	0.000014	0.037965	37.000000	-1.154361	0.032618	37.000000	-0.153535	0.017181	37.000000	0.017709	0.023514	37.000000	-0.487720	0.112685	37.000000	0.071780	0.037271
38	38.000000	0.155972	0.014555	38.000000	0.687597	0.031425	38.000000	0.791566	0.001748	38.000000	0.137644	0.022192	38.000000	0.823029	0.036291	38.000000	0.435249	0.002618	38.000000	0.001184	0.038692	38.000000	-1.165360	0.030908	38.000000	-0.160288	0.017655	38.000000	0.025135	0.022510	38.000000	-0.543692	0.103977	38.000000	0.065546	0.035528
39	39.000000	0.155988	0.014220	39.000000	0.676046	0.031582	39.000000	0.789950	0.001844	39.000000	0.137935	0.022365	39.000000	0.817389	0.035727	39.000000	0.435867	0.002709	39.000000	0.002716	0.039029	39.000000	-1.178040	0.028874	39.000000	-0.166687	0.017965	39.000000	0.029756	0.019894	39.000000	-0.600908	0.093693	39.000000	0.056886	0.032697
40	40.000000	0.156021	0.013888	40.000000	0.664362	0.031706	40.000000	0.788272	0.001936	40.000000	0.138259	0.022515	40.000000	0.811180	0.035231	40.000000	0.436386	0.002830	40.000000	0.004891	0.038667	40.000000	-1.192529	0.027261	40.000000	-0.172365	0.018053	40.000000	0.030278	0.017271	40.000000	-0.659192	0.083157	40.000000	0.045873	0.029270
41	41.000000	0.156077	0.013585	41.000000	0.652528	0.031788	41.000000	0.786540	0.002022	41.000000	0.138565	0.022620	41.000000	0.804390	0.034814	41.000000	0.436783	0.002967	41.000000	0.008034	0.037734	41.000000	-1.209115	0.026969	41.000000	-0.176772	0.018190	41.000000	0.026174	0.016661	41.000000	-0.718491	0.073619	41.000000	0.032962	0.025740
42	42.000000	0.156168	0.013336	42.000000	0.640520	0.031828	42.000000	0.784771	0.002097	42.000000	0.138804	0.022662	42.000000	0.797009	0.034479	42.000000	0.437042	0.003111	42.000000	0.012718	0.037139	42.000000	-1.228334	0.028397	42.000000	-0.179437	0.018786	42.000000	0.018100	0.018563	42.000000	-0.778619	0.066070	42.000000	0.019082	0.022440
43	43.000000	0.156312	0.013165	43.000000	0.628311	0.031831	43.000000	0.782985	0.002162	43.000000	0.138939	0.022628	43.000000	0.789030	0.034223	43.000000	0.437158	0.003260	43.000000	0.019529	0.037982	43.000000	-1.250730	0.030913	43.000000	-0.180044	0.020140	43.000000	0.007757	0.022397	43.000000	-0.839260	0.061014	43.000000	0.005256	0.019537
44	44.000000	0.156534	0.013080	44.000000	0.615864	0.031804	44.000000	0.781204	0.002218	44.000000	0.138957	0.022512	44.000000	0.780450	0.034029	44.000000	0.437138	0.003411	44.000000	0.028999	0.040534	44.000000	-1.276668	0.033410	44.000000	-0.178529	0.022325	44.000000	-0.002470	0.027526	44.000000	-0.900035	0.058252	44.000000	-0.007604	0.017256
45	45.000000	0.156864	0.013076	45.000000	0.603142	0.031758	45.000000	0.779449	0.002271	45.000000	0.138873	0.022313	45.000000	0.771271	0.033878	45.000000	0.436996	0.003564	45.000000	0.041249	0.043878	45.000000	-1.305986	0.034885	45.000000	-0.174906	0.025108	45.000000	-0.010055	0.033510	45.000000	-0.961052	0.057136	45.000000	-0.019126	0.016057
46	46.000000	0.157330	0.013132	46.000000	0.590112	0.031701	46.000000	0.777740	0.002331	46.000000	0.138727	0.022037	46.000000	0.761492	0.033743	46.000000	0.436751	0.003720	46.000000	0.055981	0.046827	46.000000	-1.337923	0.034752	46.000000	-0.169193	0.028060	46.000000	-0.012835	0.039601	46.000000	-1.023058	0.057031	46.000000	-0.029477	0.016349
